,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
1167,BC,177954,4796,1888,32,298,17,136,1,2021,09,17
1255,BC,182541,4587,1922,34,319,21,149,13,2021,09,24
1285,BC,187694,5153,1973,51,328,9,138,-11,2021,10,01
1299,BC,192491,4797,2001,28,360,32,137,-1,2021,10,08
1313,BC,196433,3942,2055,54,367,7,152,15,2021,10,15
1347,BC,200898,4465,2109,54,365,-2,142,-10,2021,10,22
1385,BC,204914,4016,2156,47,436,71,155,13,2021,10,29
1399,BC,208265,3351,2201,45,441,5,129,-26,2021,11,05
1251,BC,211750,3485,2257,56,384,-57,124,-5,2021,11,12
1333,BC,214636,2886,2293,36,358,-26,109,-15,2021,11,19
1375,BC,217099,2463,2322,29,291,-67,115,6,2021,11,26
1458,BC,219584,2485,2351,29,276,-15,95,-20,2021,12,03
1530,BC,222013,2429,2381,30,211,-65,72,-23,2021,12,10
1544,BC,225785,3772,2399,18,191,-20,74,2,2021,12,17
1558,BC,235658,9873,2414,15,192,1,71,-3,2021,12,24
1316,BC,254849,19191,2423,9,220,28,73,2,2021,12,31
1358,BC,276875,22026,2439,16,349,129,93,20,2022,01,07
1434,BC,293521,16646,2468,29,646,297,95,2,2022,01,14
1488,BC,308079,14558,2529,61,924,278,130,35,2022,01,21
1207,BC,320540,12461,2597,68,990,66,141,11,2022,01,28
1221,BC,330638,10098,2675,78,946,-44,139,-2,2022,02,04
1235,BC,338585,7947,2747,72,846,-100,136,-3,2022,02,11
1268,BC,343631,5046,2786,39,733,-113,113,-23,2022,02,18
1455,BC,347331,3700,2840,54,599,-134,96,-17,2022,02,25
1495,BC,349944,2613,2903,63,484,-115,69,-27,2022,03,04
1509,BC,352039,2435,2935,39,368,-143,46,-33,2022,03,11
1428,BC,353578,1539,2966,31,290,-78,46,0,2022,03,18
1483,BC,355092,1514,2983,17,260,-30,50,4,2022,03,25
1583,BC,356772,1680,3002,19,274,14,35,-15,2022,04,01
1597,BC,357974,1202,3004,2,324,50,38,3,2022,04,08
1611,BC,359002,1028,3036,32,364,40,36,-2,2022,04,15
1625,BC,361034,2032,3077,41,485,121,38,2,2022,04,22
1639,BC,363302,2268,3147,70,570,85,47,9,2022,04,29
1653,BC,365577,2275,3226,79,550,-20,39,-8,2022,05,06
1667,BC,367559,1982,3307,81,596,46,54,15,2022,05,13
1681,BC,369202,1643,3398,91,540,-56,49,-5,2022,05,20
1695,BC,370559,1357,3469,71,473,-67,42,-7,2022,05,27
1709,BC,371720,1161,3547,78,421,-52,41,-1,2022,06,03
1723,BC,372611,891,3614,67,325,-96,28,-13,2022,06,10
1737,BC,373336,725,3682,68,276,-49,19,-9,2022,06,17
1751,BC,373974,638,3722,40,273,-3,28,9,2022,06,24
